year,state,term2,pct_2p_vote,lagged_pct_2p_vote,real_gdp_pct_growth,net_approval
1980,ARIZONA,1,28.244683589928428,39.79997818825154,-0.3,-18
1980,ARKANSAS,1,47.522630620046755,64.96172812966184,-0.3,-18
1980,CALIFORNIA,1,35.91943691076413,47.954821836112544,-0.3,-18
1980,COLORADO,1,31.07003250453797,42.60994599792869,-0.3,-18
1980,CONNECTICUT,1,38.52220566954778,46.73370096403879,-0.3,-18
1980,DELAWARE,1,44.87414498362103,51.969088702353574,-0.3,-18
1980,DISTRICT OF COLUMBIA,1,74.89317898199425,81.63122667772315,-0.3,-18
1980,FLORIDA,1,38.50021983076964,51.92610623078361,-0.3,-18
1980,GEORGIA,1,55.79610534786652,66.93829485931742,-0.3,-18
1980,HAWAII,1,44.80211812573569,50.591999340887945,-0.3,-18
1980,IDAHO,1,25.190715792890764,37.11854563373341,-0.3,-18
1980,ILLINOIS,1,41.716408184817595,48.10759026891425,-0.3,-18
1980,INDIANA,1,37.65319243739945,45.70038579294727,-0.3,-18
1980,IOWA,1,38.60416298273987,48.458496540694426,-0.3,-18
1980,KANSAS,1,33.287575462214036,44.936393675385894,-0.3,-18
1980,KENTUCKY,1,47.65391582608266,52.75424926872651,-0.3,-18
1980,LOUISIANA,1,45.748231779727504,51.77499622274603,-0.3,-18
1980,MAINE,1,42.250354199051266,48.0940766261947,-0.3,-18
1980,MARYLAND,1,47.13812953749961,53.035419923436386,-0.3,-18
1980,MASSACHUSETTS,1,41.74977912831951,56.111578225108126,-0.3,-18
1980,MICHIGAN,1,42.497413500949555,46.46507411839774,-0.3,-18
1980,MINNESOTA,1,46.50156244212726,54.89630145887214,-0.3,-18
1980,MISSISSIPPI,1,48.139164564059435,49.62701232447065,-0.3,-18
1980,MISSOURI,1,44.345716593390684,51.104985667485664,-0.3,-18
1980,MONTANA,1,32.43065019563019,45.40418697183741,-0.3,-18
1980,NEBRASKA,1,26.02273846697512,38.449671940126805,-0.3,-18
1980,NEVADA,1,27.356663329120366,45.809804038122415,-0.3,-18
1980,NEW HAMPSHIRE,1,28.350738300476575,43.472692100451376,-0.3,-18
1980,NEW JERSEY,1,38.557992044854224,47.92391503387658,-0.3,-18
1980,NEW MEXICO,1,36.78482893759165,48.2844043303968,-0.3,-18
1980,NEW YORK,1,43.992099915526694,48.65083285569763,-0.3,-18
1980,NORTH CAROLINA,1,47.18285535390307,55.269186712485684,-0.3,-18
1980,NORTH DAKOTA,1,26.2985029025359,45.77004318753616,-0.3,-18
1980,OHIO,1,40.90981353780918,48.89868666639419,-0.3,-18
1980,OKLAHOMA,1,34.967661354013366,48.747220190231,-0.3,-18
1980,OREGON,1,38.66981065004621,47.61806275706979,-0.3,-18
1980,PENNSYLVANIA,1,42.475930620205936,50.39567935072532,-0.3,-18
1980,RHODE ISLAND,1,47.68214786269103,55.442004559359354,-0.3,-18
1980,SOUTH CAROLINA,1,48.20896631384125,56.169517669823556,-0.3,-18
1980,SOUTH DAKOTA,1,31.691806300216964,48.912125263571,-0.3,-18
1980,TENNESSEE,1,48.407718519104655,55.94074830696869,-0.3,-18
1980,TEXAS,1,41.4200301389191,51.1389568072175,-0.3,-18
1980,UTAH,1,20.56866483931196,33.64817873758818,-0.3,-18
1980,VERMONT,1,38.42118340920492,42.30405324575045,-0.3,-18
1980,VIRGINIA,1,40.308740686118995,47.958215632133516,-0.3,-18
1980,WASHINGTON,1,37.31607202504141,46.114260440466104,-0.3,-18
1980,WEST VIRGINIA,1,49.81083480747985,58.06951864533234,-0.3,-18
1980,WISCONSIN,1,43.180315508258985,49.50336357441171,-0.3,-18
1980,WYOMING,1,27.970211586018006,39.809265525159425,-0.3,-18
1984,ALABAMA,1,60.54249354760621,48.75012016284021,7.2,25
1984,ALASKA,1,66.6539823221984,54.34819653507526,7.2,25
1984,ARIZONA,1,66.42148285841562,60.60884838290739,7.2,25
1984,ARKANSAS,1,60.46702532547269,48.13427222648051,7.2,25
1984,CALIFORNIA,1,57.516942851693116,52.69750288304541,7.2,25
1984,COLORADO,1,63.442155969676854,55.06893494871037,7.2,25
1984,CONNECTICUT,1,60.73195173495126,48.155957007292265,7.2,25
1984,DELAWARE,1,59.78269409047342,47.20708793726768,7.2,25
1984,DISTRICT OF COLUMBIA,1,13.7296013024876,13.406828494039301,7.2,25
1984,FLORIDA,1,65.3185810412361,55.51916270650327,7.2,25
1984,GEORGIA,1,60.17229856601785,40.9673065903476,7.2,25
1984,HAWAII,1,55.099658772175346,42.900618885741885,7.2,25
1984,IDAHO,1,72.3646702858366,66.45596676961624,7.2,25
1984,ILLINOIS,1,56.17459154097207,49.646052894475275,7.2,25
1984,INDIANA,1,61.67431458678617,56.00524167128673,7.2,25
1984,IOWA,1,53.272112168085435,51.305001817614695,7.2,25
1984,KANSAS,1,66.272207876586,57.850060471833395,7.2,25
1984,KENTUCKY,1,60.00693762346231,49.032167437078726,7.2,25
1984,LOUISIANA,1,60.77370692433072,51.19834740095997,7.2,25
1984,MAINE,1,60.83406852465181,45.605541757247934,7.2,25
1984,MARYLAND,1,52.50505259050059,44.18096509176265,7.2,25
1984,MASSACHUSETTS,1,51.22078250890937,41.901477364119344,7.2,25
1984,MICHIGAN,1,59.226027170250454,48.986181892588355,7.2,25
1984,MINNESOTA,1,49.53841518789858,42.55866224543305,7.2,25
1984,MISSISSIPPI,1,61.88232118873153,49.46330249509391,7.2,25
1984,MISSOURI,1,60.024750667877036,51.15576353065781,7.2,25
1984,MONTANA,1,60.47448208399566,56.82452631116191,7.2,25
1984,NEBRASKA,1,70.55069085555675,65.55001852914549,7.2,25
1984,NEVADA,1,66.76995016217631,63.611854307896856,7.2,25
1984,NEW HAMPSHIRE,1,68.66733178367926,57.73718065574624,7.2,25
1984,NEW JERSEY,1,60.09051973018109,51.973159784439474,7.2,25
1984,NEW MEXICO,1,59.704298462196476,54.966826452041374,7.2,25
1984,NEW YORK,1,49.605013214707036,42.530110244198646,7.2,25
1984,NORTH CAROLINA,1,61.896898951484374,49.30497517826227,7.2,25
1984,NORTH DAKOTA,1,64.83974224118121,64.32570836488263,7.2,25
1984,OHIO,1,58.69868634861014,51.51142624561613,7.2,25
1984,OKLAHOMA,1,68.610851843947,60.49970949145348,7.2,25
1984,OREGON,1,55.9058218856984,48.33146567630062,7.2,25
1984,PENNSYLVANIA,1,53.34106792230928,49.586134037896734,7.2,25
1984,RHODE ISLAND,1,51.66520905554108,37.21280774676838,7.2,25
1984,SOUTH CAROLINA,1,63.55400819180427,49.45376230779796,7.2,25
1984,SOUTH DAKOTA,1,63.003394501473885,60.5252316884496,7.2,25
1984,TENNESSEE,1,57.83972247550078,48.698887745917446,7.2,25
1984,TEXAS,1,63.6106129961051,55.28195126161586,7.2,25
1984,UTAH,1,74.50179145438145,72.7775460480144,7.2,25
1984,VERMONT,1,57.92309889538329,44.36401483363729,7.2,25
1984,VIRGINIA,1,62.2871610683698,53.03279900880585,7.2,25
1984,WASHINGTON,1,56.09175907110208,49.65834363525127,7.2,25
1984,WEST VIRGINIA,1,55.112118106618894,45.30286086090157,7.2,25
1984,WISCONSIN,1,54.19315283477921,47.89877447023409,7.2,25
1984,WYOMING,1,70.50982176876508,62.64394809663126,7.2,25
1988,ALABAMA,0,59.16504893810266,60.54249354760621,4.2,13
1988,ALASKA,0,59.59093725639129,66.6539823221984,4.2,13
1988,ARIZONA,0,59.95026764845679,66.42148285841562,4.2,13
1988,ARKANSAS,0,56.367836199377095,60.46702532547269,4.2,13
1988,CALIFORNIA,0,51.126567894516725,57.516942851693116,4.2,13
1988,COLORADO,0,53.058888336731286,63.442155969676854,4.2,13
1988,CONNECTICUT,0,51.97756122029051,60.73195173495126,4.2,13
1988,DELAWARE,0,55.87996366415757,59.78269409047342,4.2,13
1988,DISTRICT OF COLUMBIA,0,14.30445309705149,13.7296013024876,4.2,13
1988,FLORIDA,0,60.871559089261986,65.3185810412361,4.2,13
1988,GEORGIA,0,59.752872343717534,60.17229856601785,4.2,13
1988,HAWAII,0,44.751044543687456,55.099658772175346,4.2,13
1988,IDAHO,0,62.07845112576045,72.3646702858366,4.2,13
1988,ILLINOIS,0,50.688268788713614,56.17459154097207,4.2,13
1988,INDIANA,0,59.84277566250626,61.67431458678617,4.2,13
1988,IOWA,0,44.49647278833303,53.272112168085435,4.2,13
1988,KANSAS,0,55.79299608073761,66.272207876586,4.2,13
1988,KENTUCKY,0,55.52147911898297,60.00693762346231,4.2,13
1988,LOUISIANA,0,54.274715299453014,60.77370692433072,4.2,13
1988,MAINE,0,55.33542929725152,60.83406852465181,4.2,13
1988,MARYLAND,0,51.107586630097096,52.50505259050059,4.2,13
1988,MASSACHUSETTS,0,45.375058730226854,51.22078250890937,4.2,13
1988,MICHIGAN,0,53.567693776482535,59.226027170250454,4.2,13
1988,MINNESOTA,0,45.89572632452463,49.53841518789858,4.2,13
1988,MISSISSIPPI,0,59.88983679485404,61.88232118873153,4.2,13
1988,MISSOURI,0,51.831573053675946,60.024750667877036,4.2,13
1988,MONTANA,0,52.07151725307241,60.47448208399566,4.2,13
1988,NEBRASKA,0,60.16282040621953,70.55069085555675,4.2,13
1988,NEVADA,0,60.04668743606707,66.76995016217631,4.2,13
1988,NEW HAMPSHIRE,0,62.4908717607236,68.66733178367926,4.2,13
1988,NEW JERSEY,0,56.24010946094485,60.09051973018109,4.2,13
1988,NEW MEXICO,0,51.85035300074609,59.704298462196476,4.2,13
1988,NEW YORK,0,43.764303620759755,49.605013214707036,4.2,13
